product,category
blender, small kitchen appliances
pressure cooker, small kitchen appliances
computer, consumer electronics
coffee, packaged food
vitamin,health
treadmill,fitness equipment
face cream,beauty products
rowing machine,fitness equipment
elliptical trainer,fitness equipment
lipstick,beauty products
women's purse,accessories
shoes,footwear
car,transportation
jeans,apparel
television,consumer electronics
tablet,consumer electronics
furniture,household durables
washer,large kitchen appliances
dryer,large kitchen appliances
refrigerator,large kitchen appliances
makeup,beauty products
perfume,beauty products
speakers,consumer electronics
shaver,consumer electronics
pants,apparel
